company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,filing_type,parent_id,relationship,claims_count,inventors
SpaceX,SEED-SPA-0022,US010024083,Ground station diversity for satellite communications,[Sample] Ground station diversity for satellite communications.,patent_application,pending,SpaceX,US,2021-08-13,2021,2023-09-13,2023.0,H04B7/12,Satellite / Wireless Comms,3,FAM-SPA-0007,2,,,,20,
SpaceX,SEED-SPA-0023,US010024084,Integrated modem for satellite internet terminals,[Sample] Integrated modem for satellite internet terminals.,granted_patent,granted,SpaceX,US,2014-02-11,2014,2015-07-19,2015.0,H04L27/00,Signal Processing,6,FAM-SPA-0007,2,,,,22,
SpaceX,SEED-SPA-0024,US010024085,Attitude and orbit control for satellite formation flying,[Sample] Attitude and orbit control for satellite formation flying.,patent_application,pending,SpaceX,US,2014-10-14,2014,2015-08-27,2015.0,B64G1/36,Spacecraft / Launch Systems,5,FAM-SPA-0008,5,,,,29,
SpaceX,SEED-SPA-0025,WO010024086,Satellite solar array deployment mechanism,[Sample] Satellite solar array deployment mechanism.,granted_patent,granted,SpaceX,WO,2015-09-19,2015,2018-01-16,2018.0,B64G1/44,Spacecraft / Launch Systems,1,FAM-SPA-0008,3,,,,25,
SpaceX,SEED-SPA-0026,US010024087,Multi-beam satellite communications payload,[Sample] Multi-beam satellite communications payload.,patent_application,pending,SpaceX,US,2021-02-16,2021,2024-10-13,2024.0,H04B7/204,Satellite / Wireless Comms,6,FAM-SPA-0008,5,,,,20,
SpaceX,SEED-SPA-0027,US010024088,Carbon fiber composite rocket body structure,[Sample] Carbon fiber composite rocket body structure.,patent_application,pending,SpaceX,US,2017-03-13,2017,2019-04-21,2019.0,B64C1/00,Aeronautics / Structures,4,FAM-SPA-0009,4,,,,26,
SpaceX,SEED-SPA-0028,US010024089,Regenerative heat exchanger for rocket engines,[Sample] Regenerative heat exchanger for rocket engines.,granted_patent,granted,SpaceX,US,2019-12-26,2019,2020-05-05,2020.0,F02K9/00,Rocket Propulsion,4,FAM-SPA-0009,3,,,,13,
SpaceX,SEED-SPA-0029,EP010024090,Autonomous drone ship precision landing system,[Sample] Autonomous drone ship precision landing system.,granted_patent,granted,SpaceX,EP,2018-04-18,2018,2021-02-25,2021.0,B64G5/00,Spacecraft / Launch Systems,4,FAM-SPA-0009,4,,,,19,
SpaceX,SEED-SPA-0030,EP010024091,High-volume manufacturing methods for satellite hardware,[Sample] High-volume manufacturing methods for satellite hardware.,patent_application,pending,SpaceX,EP,2017-03-04,2017,2018-03-24,2018.0,B64G1/00,Spacecraft / Launch Systems,3,FAM-SPA-0010,1,,,,23,
SpaceX,SEED-SPA-0031,US010024092,Mesh networking protocol for satellite constellations,[Sample] Mesh networking protocol for satellite constellations.,granted_patent,granted,SpaceX,US,2017-05-07,2017,2020-04-27,2020.0,H04L12/00,Satellite / Wireless Comms,1,FAM-SPA-0010,7,,,,16,
SpaceX,SEED-SPA-0032,US010024093,RF power amplifier for phased array transmitter modules,[Sample] RF power amplifier for phased array transmitter modules.,granted_patent,granted,SpaceX,US,2016-05-26,2016,2017-05-25,2017.0,H03F3/00,Signal Processing,3,FAM-SPA-0010,2,,,,19,
SpaceX,SEED-SPA-0033,US010024094,User scheduling for multi-beam satellite broadband,[Sample] User scheduling for multi-beam satellite broadband.,granted_patent,granted,SpaceX,US,2015-11-16,2015,2017-06-20,2017.0,H04W72/00,Satellite / Wireless Comms,5,FAM-SPA-0011,1,,,,22,
SpaceX,SEED-SPA-0034,WO010024095,Polar orbit satellite coverage optimization,[Sample] Polar orbit satellite coverage optimization.,patent_application,pending,SpaceX,WO,2015-12-27,2015,2016-06-22,2016.0,H04B7/195,Satellite / Wireless Comms,3,FAM-SPA-0011,5,,,,29,
SpaceX,SEED-SPA-0035,US010024096,Satellite lifetime propulsion management system,[Sample] Satellite lifetime propulsion management system.,granted_patent,granted,SpaceX,US,2016-07-10,2016,2017-12-19,2017.0,B64G1/26,Spacecraft / Launch Systems,3,FAM-SPA-0011,3,,,,14,
SpaceX,SEED-SPA-0036,WO010024097,GaN-based transmit/receive module for satellite antennas,[Sample] GaN-based transmit/receive module for satellite antennas.,granted_patent,granted,SpaceX,WO,2024-12-07,2024,2026-03-15,2026.0,H01Q21/06,Antenna Design,3,FAM-SPA-0012,3,,,,9,
SpaceX,SEED-SPA-0037,US010024098,Deployable reflector with shape-memory actuators,[Sample] Deployable reflector with shape-memory actuators.,granted_patent,granted,SpaceX,US,2017-07-07,2017,2019-02-10,2019.0,H01Q15/14,Antenna Design,3,FAM-SPA-0012,1,,,,29,
SpaceX,SEED-SPA-0038,WO010024099,On-orbit servicing interface for modular satellites,[Sample] On-orbit servicing interface for modular satellites.,patent_application,pending,SpaceX,WO,2024-01-05,2024,2025-06-12,2025.0,B64G4/00,Spacecraft / Launch Systems,5,FAM-SPA-0012,4,,,,15,
SpaceX,SEED-SPA-0039,US010024100,Digital channelizer for satellite payload processing,[Sample] Digital channelizer for satellite payload processing.,granted_patent,granted,SpaceX,US,2018-03-11,2018,2019-09-04,2019.0,H04J4/00,Signal Processing,1,FAM-SPA-0013,1,,,,11,
SpaceX,SEED-SPA-0040,EP010024101,Satellite constellation collision avoidance maneuver planning,[Sample] Satellite constellation collision avoidance maneuver planning.,granted_patent,granted,SpaceX,EP,2018-09-26,2018,2019-01-22,2019.0,B64G1/10,Spacecraft / Launch Systems,1,FAM-SPA-0013,1,,,,15,
SpaceX,SEED-SPA-0041,WO010024102,Adaptive modulation and coding for satellite links,[Sample] Adaptive modulation and coding for satellite links.,granted_patent,granted,SpaceX,WO,2017-11-10,2017,2019-07-19,2019.0,H04L1/00,Satellite / Wireless Comms,3,FAM-SPA-0013,7,,,,11,
SpaceX,SEED-SPA-0042,US010024103,Electronically scanned array with reconfigurable aperture,[Sample] Electronically scanned array with reconfigurable aperture.,granted_patent,granted,SpaceX,US,2014-10-05,2014,2016-02-01,2016.0,H01Q3/44,Antenna Design,6,FAM-SPA-0014,2,,,,11,
SpaceX,SEED-SPA-0043,US010024104,Space-ground network protocol for low-latency services,[Sample] Space-ground network protocol for low-latency services.,granted_patent,granted,SpaceX,US,2022-04-09,2022,2024-09-17,2024.0,H04L47/00,Satellite / Wireless Comms,6,FAM-SPA-0014,1,,,,9,
SpaceX,SEED-SPA-0044,WO010024105,Thermal-electric power management for CubeSat class satellites,[Sample] Thermal-electric power management for CubeSat class satellites.,patent_application,pending,SpaceX,WO,2020-01-06,2020,2023-12-17,2023.0,H02J7/00,Power / Electrical Systems,5,FAM-SPA-0014,4,,,,18,
SpaceX,SEED-SPA-0045,EP010024106,Optical inter-satellite crosslink terminal design,[Sample] Optical inter-satellite crosslink terminal design.,granted_patent,granted,SpaceX,EP,2020-09-15,2020,2022-12-01,2022.0,H04B10/112,Satellite / Wireless Comms,6,FAM-SPA-0015,5,,,,26,
SpaceX,SEED-SPA-0046,US010024107,Propellant-free satellite attitude control using momentum wheels,[Sample] Propellant-free satellite attitude control using momentum wheels.,granted_patent,granted,SpaceX,US,2017-02-15,2017,2018-10-06,2018.0,B64G1/28,Spacecraft / Launch Systems,3,FAM-SPA-0015,6,,,,27,
SpaceX,SEED-SPA-0047,US010024108,Re-entry vehicle thermal protection using ablative materials,[Sample] Re-entry vehicle thermal protection using ablative materials.,patent_application,pending,SpaceX,US,2014-03-07,2014,2017-05-03,2017.0,B64G1/58,Spacecraft / Launch Systems,4,FAM-SPA-0015,7,,,,13,
SpaceX,SEED-SPA-0048,WO010024109,Electric propulsion system for station keeping in LEO,[Sample] Electric propulsion system for station keeping in LEO.,granted_patent,granted,SpaceX,WO,2015-03-18,2015,2016-02-16,2016.0,B64G1/40,Spacecraft / Launch Systems,1,FAM-SPA-0016,5,,,,11,
SpaceX,SEED-SPA-0049,US010024110,Launch vehicle interstage separation mechanism,[Sample] Launch vehicle interstage separation mechanism.,patent_application,pending,SpaceX,US,2022-03-26,2022,2023-10-11,2023.0,B64G1/64,Spacecraft / Launch Systems,4,FAM-SPA-0016,3,,,,16,
SpaceX,SEED-SPA-0050,US010024111,Flat-panel satellite with integrated ion propulsion and stowable solar arrays,[Sample] Flat-panel satellite with integrated ion propulsion and stowable solar arrays.,patent_application,pending,SpaceX,US,2024-09-24,2024,2025-04-09,2025.0,B64G1/28,Spacecraft / Launch Systems,4,FAM-SPA-0016,3,,,,24,
SpaceX,SEED-SPA-0051,US010024112,Satellite constellation frequency reuse via spot beam coordination,[Sample] Satellite constellation frequency reuse via spot beam coordination.,granted_patent,granted,SpaceX,US,2020-09-14,2020,2023-04-20,2023.0,H04W16/14,Satellite / Wireless Comms,4,FAM-SPA-0017,7,,,,20,
Blue Origin,SEED-BLU-0003,EP010056574,BE-3 liquid hydrogen and liquid oxygen rocket engine,[Sample] BE-3 liquid hydrogen and liquid oxygen rocket engine.,granted_patent,granted,Blue Origin,EP,2015-09-09,2015,2017-11-27,2017.0,F02K9/00,Rocket Propulsion,2,FAM-BLU-0001,3,,,,15,
Blue Origin,SEED-BLU-0004,EP010056575,Large diameter composite pressure vessel for launch vehicles,[Sample] Large diameter composite pressure vessel for launch vehicles.,granted_patent,granted,Blue Origin,EP,2013-03-22,2013,2015-01-21,2015.0,B64C1/06,Aeronautics / Structures,2,FAM-BLU-0001,7,,,,23,
Blue Origin,SEED-BLU-0005,US010056576,Propellant settling maneuver for in-space cryogenic tanks,[Sample] Propellant settling maneuver for in-space cryogenic tanks.,patent_application,pending,Blue Origin,US,2015-02-12,2015,2018-06-26,2018.0,F17C7/00,Spacecraft / Launch Systems,2,FAM-BLU-0001,7,,,,10,
Blue Origin,SEED-BLU-0006,US010056577,Integrated launch and recovery operations control system,[Sample] Integrated launch and recovery operations control system.,patent_application,pending,Blue Origin,US,2021-11-18,2021,2023-07-24,2023.0,B64G5/00,Spacecraft / Launch Systems,1,FAM-BLU-0002,3,,,,9,
Blue Origin,SEED-BLU-0007,EP010056578,Blue Ring orbital transfer vehicle propulsion architecture,[Sample] Blue Ring orbital transfer vehicle propulsion architecture.,granted_patent,granted,Blue Origin,EP,2023-07-02,2023,2026-04-08,2026.0,B64G1/40,Spacecraft / Launch Systems,6,FAM-BLU-0002,4,,,,22,
Blue Origin,SEED-BLU-0008,US010056579,Turbopump for cryogenic rocket propellants,[Sample] Turbopump for cryogenic rocket propellants.,granted_patent,granted,Blue Origin,US,2015-02-09,2015,2018-08-03,2018.0,F04D25/00,Rocket Propulsion,4,FAM-BLU-0002,2,,,,19,
Blue Origin,SEED-BLU-0009,US010056580,Vertical takeoff and landing propulsion control law,[Sample] Vertical takeoff and landing propulsion control law.,granted_patent,granted,Blue Origin,US,2021-12-15,2021,2024-03-28,2024.0,B64C29/00,Aeronautics / Structures,3,FAM-BLU-0003,7,,,,27,
Blue Origin,SEED-BLU-0010,US010056581,BE-4 liquefied natural gas rocket engine combustion chamber,[Sample] BE-4 liquefied natural gas rocket engine combustion chamber.,patent_application,pending,Blue Origin,US,2013-11-21,2013,2016-08-23,2016.0,F02K9/10,Rocket Propulsion,5,FAM-BLU-0003,7,,,,20,
Blue Origin,SEED-BLU-0011,US010056582,Thrust vector control actuator for launch vehicles,[Sample] Thrust vector control actuator for launch vehicles.,granted_patent,granted,Blue Origin,US,2018-02-09,2018,2020-01-18,2020.0,B64G1/26,Spacecraft / Launch Systems,6,FAM-BLU-0003,3,,,,10,
Blue Origin,SEED-BLU-0012,EP010056583,Space habitat environmental control and life support system,[Sample] Space habitat environmental control and life support system.,granted_patent,granted,Blue Origin,EP,2014-12-28,2014,2015-12-21,2015.0,B64G1/58,Spacecraft / Launch Systems,2,FAM-BLU-0004,6,,,,23,
Blue Origin,SEED-BLU-0013,US010056584,Lunar lander descent propulsion system,[Sample] Lunar lander descent propulsion system.,granted_patent,granted,Blue Origin,US,2017-11-16,2017,2019-05-11,2019.0,B64G1/62,Spacecraft / Launch Systems,4,FAM-BLU-0004,6,,,,26,
Blue Origin,SEED-BLU-0014,US010056585,Reentry aeroshell thermal protection system,[Sample] Reentry aeroshell thermal protection system.,patent_application,pending,Blue Origin,US,2015-09-18,2015,2017-12-27,2017.0,B64G1/58,Spacecraft / Launch Systems,1,FAM-BLU-0004,3,,,,26,
Blue Origin,SEED-BLU-0015,US010056586,BE-7 LOX/hydrogen engine for lunar lander,[Sample] BE-7 LOX/hydrogen engine for lunar lander.,granted_patent,granted,Blue Origin,US,2018-01-19,2018,2019-12-10,2019.0,F02K9/00,Rocket Propulsion,4,FAM-BLU-0005,3,,,,13,
Blue Origin,SEED-BLU-0016,US010056587,Propulsion feed system with passive pressurant,[Sample] Propulsion feed system with passive pressurant.,granted_patent,granted,Blue Origin,US,2015-08-08,2015,2016-01-15,2016.0,F02K9/44,Rocket Propulsion,3,FAM-BLU-0005,6,,,,9,
Blue Origin,SEED-BLU-0017,WO010056588,Rotating detonation rocket engine cycle,[Sample] Rotating detonation rocket engine cycle.,granted_patent,granted,Blue Origin,WO,2018-02-26,2018,2021-03-27,2021.0,F02K7/00,Rocket Propulsion,3,FAM-BLU-0005,5,,,,29,
Blue Origin,SEED-BLU-0018,WO010056589,Recovery parachute system for reusable crew capsule,[Sample] Recovery parachute system for reusable crew capsule.,patent_application,pending,Blue Origin,WO,2015-01-14,2015,2018-09-08,2018.0,B64D17/00,Aeronautics / Structures,4,FAM-BLU-0006,7,,,,29,
Blue Origin,SEED-BLU-0019,WO010056590,Lightweight composite tank manufacturing for cryogenic propellants,[Sample] Lightweight composite tank manufacturing for cryogenic propellants.,patent_application,pending,Blue Origin,WO,2021-08-28,2021,2022-02-28,2022.0,B64G1/40,Spacecraft / Launch Systems,5,FAM-BLU-0006,3,,,,20,
Blue Origin,SEED-BLU-0020,US010056591,Reusable first stage booster guidance during powered descent,[Sample] Reusable first stage booster guidance during powered descent.,granted_patent,granted,Blue Origin,US,2018-08-28,2018,2020-09-01,2020.0,B64G1/62,Spacecraft / Launch Systems,5,FAM-BLU-0006,1,,,,11,
Blue Origin,SEED-BLU-0021,US010056592,Variable thrust liquid rocket engine for throttleable descent,[Sample] Variable thrust liquid rocket engine for throttleable descent.,patent_application,pending,Blue Origin,US,2021-05-03,2021,2022-05-24,2022.0,F02K9/58,Rocket Propulsion,3,FAM-BLU-0007,7,,,,25,
Blue Origin,SEED-BLU-0022,US010056593,Acoustic suppression system for rocket test stand,[Sample] Acoustic suppression system for rocket test stand.,patent_application,pending,Blue Origin,US,2020-07-04,2020,2022-03-18,2022.0,F02K9/00,Rocket Propulsion,5,FAM-BLU-0007,3,,,,9,
Blue Origin,SEED-BLU-0023,US010056594,Advanced composite nosecone for suborbital vehicles,[Sample] Advanced composite nosecone for suborbital vehicles.,patent_application,pending,Blue Origin,US,2014-02-16,2014,2015-06-03,2015.0,B64C1/00,Aeronautics / Structures,2,FAM-BLU-0007,7,,,,8,
Blue Origin,SEED-BLU-0024,US010056595,Pressure-fed bipropellant thruster for orbital maneuvering,[Sample] Pressure-fed bipropellant thruster for orbital maneuvering.,granted_patent,granted,Blue Origin,US,2013-05-21,2013,2016-05-24,2016.0,F02K9/44,Rocket Propulsion,6,FAM-BLU-0008,7,,,,17,
Blue Origin,SEED-BLU-0025,US010056596,Staged combustion cycle engine with full flow oxidizer preburner,[Sample] Staged combustion cycle engine with full flow oxidizer preburner.,granted_patent,granted,Blue Origin,US,2021-03-09,2021,2024-12-19,2024.0,F02K9/10,Rocket Propulsion,3,FAM-BLU-0008,5,,,,24,
Blue Origin,SEED-BLU-0026,US010056597,Launch pad infrastructure for rapid booster reuse,[Sample] Launch pad infrastructure for rapid booster reuse.,granted_patent,granted,Blue Origin,US,2024-08-25,2024,2025-05-23,2025.0,B64G5/00,Spacecraft / Launch Systems,4,FAM-BLU-0008,4,,,,29,
Blue Origin,SEED-BLU-0027,EP010056598,Thermal insulation system for cryogenic propellant storage,[Sample] Thermal insulation system for cryogenic propellant storage.,granted_patent,granted,Blue Origin,EP,2014-06-21,2014,2016-08-13,2016.0,F17C3/00,Spacecraft / Launch Systems,6,FAM-BLU-0009,1,,,,14,
Rocket Lab,SEED-ROC-0003,US010088497,Battery-powered turbopump for small launch vehicles,[Sample] Battery-powered turbopump for small launch vehicles.,patent_application,pending,Rocket Lab,US,2019-04-23,2019,2021-07-15,2021.0,F04D25/00,Rocket Propulsion,1,FAM-ROC-0001,6,,,,14,
Rocket Lab,SEED-ROC-0004,EP010088498,Kick stage in-space propulsion for precision orbit insertion,[Sample] Kick stage in-space propulsion for precision orbit insertion.,granted_patent,granted,Rocket Lab,EP,2024-09-16,2024,2026-08-09,2026.0,B64G1/40,Spacecraft / Launch Systems,3,FAM-ROC-0001,3,,,,17,
Rocket Lab,SEED-ROC-0005,EP010088499,Small satellite dispenser mechanism,[Sample] Small satellite dispenser mechanism.,patent_application,pending,Rocket Lab,EP,2022-04-15,2022,2025-01-16,2025.0,B64G1/64,Spacecraft / Launch Systems,1,FAM-ROC-0001,1,,,,8,
Rocket Lab,SEED-ROC-0006,EP010088500,Attitude determination system for small satellites,[Sample] Attitude determination system for small satellites.,granted_patent,granted,Rocket Lab,EP,2017-06-22,2017,2020-09-26,2020.0,B64G1/36,Spacecraft / Launch Systems,1,FAM-ROC-0002,7,,,,11,
Rocket Lab,SEED-ROC-0007,WO010088501,Rapid integration launch operations for small launch vehicles,[Sample] Rapid integration launch operations for small launch vehicles.,patent_application,pending,Rocket Lab,WO,2017-12-17,2017,2020-05-01,2020.0,B64G5/00,Spacecraft / Launch Systems,5,FAM-ROC-0002,3,,,,11,
Rocket Lab,SEED-ROC-0008,WO010088502,Cubesat-compatible monopropellant propulsion module,[Sample] Cubesat-compatible monopropellant propulsion module.,granted_patent,granted,Rocket Lab,WO,2019-07-21,2019,2021-05-10,2021.0,B64G1/40,Spacecraft / Launch Systems,1,FAM-ROC-0002,2,,,,24,
Rocket Lab,SEED-ROC-0009,US010088503,Composite overwrapped pressure vessel for small spacecraft,[Sample] Composite overwrapped pressure vessel for small spacecraft.,granted_patent,granted,Rocket Lab,US,2020-05-06,2020,2023-08-26,2023.0,B64C1/06,Aeronautics / Structures,2,FAM-ROC-0003,6,,,,17,
Rocket Lab,SEED-ROC-0010,EP010088504,Electron booster guided atmospheric descent and recovery,[Sample] Electron booster guided atmospheric descent and recovery.,granted_patent,granted,Rocket Lab,EP,2022-05-03,2022,2025-11-27,2025.0,B64G1/62,Spacecraft / Launch Systems,5,FAM-ROC-0003,5,,,,10,
Rocket Lab,SEED-ROC-0011,US010088505,Mid-air capture system for rocket booster recovery,[Sample] Mid-air capture system for rocket booster recovery.,granted_patent,granted,Rocket Lab,US,2022-12-09,2022,2024-05-17,2024.0,B64G5/00,Spacecraft / Launch Systems,2,FAM-ROC-0003,1,,,,28,
Rocket Lab,SEED-ROC-0012,EP010088506,Space solar power demonstration payload architecture,[Sample] Space solar power demonstration payload architecture.,patent_application,pending,Rocket Lab,EP,2022-11-24,2022,2024-12-26,2024.0,H02S10/40,Power / Electrical Systems,5,FAM-ROC-0004,4,,,,22,
Rocket Lab,SEED-ROC-0013,EP010088507,Autonomous mission operations for satellite constellations,[Sample] Autonomous mission operations for satellite constellations.,granted_patent,granted,Rocket Lab,EP,2020-08-18,2020,2023-11-21,2023.0,B64G1/24,Spacecraft / Launch Systems,6,FAM-ROC-0004,6,,,,13,
Rocket Lab,SEED-ROC-0014,US010088508,Optical inter-satellite link terminal for small satellites,[Sample] Optical inter-satellite link terminal for small satellites.,granted_patent,granted,Rocket Lab,US,2017-10-07,2017,2019-09-11,2019.0,H04B10/11,Satellite / Wireless Comms,2,FAM-ROC-0004,4,,,,26,
Rocket Lab,SEED-ROC-0015,US010088509,Additive manufactured rocket engine injector plate,[Sample] Additive manufactured rocket engine injector plate.,granted_patent,granted,Rocket Lab,US,2021-01-05,2021,2022-05-12,2022.0,F02K9/00,Rocket Propulsion,3,FAM-ROC-0005,5,,,,16,
Rocket Lab,SEED-ROC-0016,US010088510,Reusable fairing half-shell with guided recovery system,[Sample] Reusable fairing half-shell with guided recovery system.,patent_application,pending,Rocket Lab,US,2023-03-10,2023,2024-10-05,2024.0,B64G1/64,Spacecraft / Launch Systems,1,FAM-ROC-0005,3,,,,19,
Rocket Lab,SEED-ROC-0017,US010088511,Propellant management device for zero-gravity operation,[Sample] Propellant management device for zero-gravity operation.,granted_patent,granted,Rocket Lab,US,2022-03-16,2022,2023-11-21,2023.0,B64G1/40,Spacecraft / Launch Systems,5,FAM-ROC-0005,2,,,,17,
Virgin Galactic,SEED-VIR-0000,WO010026912,SpaceShipTwo hybrid rocket motor design,[Sample] SpaceShipTwo hybrid rocket motor design.,granted_patent,granted,Virgin Galactic,WO,2013-03-07,2013,2016-02-08,2016.0,F02K9/00,Rocket Propulsion,3,FAM-VIR-0000,5,,,,17,
Virgin Galactic,SEED-VIR-0001,US010026913,Feathering reentry mechanism for suborbital spaceplane,[Sample] Feathering reentry mechanism for suborbital spaceplane.,granted_patent,granted,Virgin Galactic,US,2021-07-06,2021,2023-06-03,2023.0,B64C3/38,Aeronautics / Structures,3,FAM-VIR-0000,5,,,,13,
Virgin Galactic,SEED-VIR-0002,US010026914,Carrier aircraft structural integration for air-launched vehicles,[Sample] Carrier aircraft structural integration for air-launched vehicles.,granted_patent,granted,Virgin Galactic,US,2019-11-12,2019,2022-11-22,2022.0,B64C1/00,Aeronautics / Structures,5,FAM-VIR-0000,2,,,,19,
Virgin Galactic,SEED-VIR-0003,US010026915,Hybrid solid propellant grain for spaceplane motor,[Sample] Hybrid solid propellant grain for spaceplane motor.,granted_patent,granted,Virgin Galactic,US,2017-06-01,2017,2019-09-13,2019.0,C06B21/00,Other,4,FAM-VIR-0001,1,,,,29,
Virgin Galactic,SEED-VIR-0004,US010026916,Crew cabin pressurization and environmental control for spaceplane,[Sample] Crew cabin pressurization and environmental control for spaceplane.,granted_patent,granted,Virgin Galactic,US,2024-10-02,2024,2025-10-17,2025.0,B64D13/00,Aeronautics / Structures,2,FAM-VIR-0001,6,,,,16,
